IdealWFH,RequiredWFH,Gender,Dependents,Age,EmployerNPS,City,Staff,Comments
2,2,Man,No,42,8,Yes,2,
5,2,Man,Yes,42,5,Yes,2,
2,2,Man,Yes,41,4,Yes,9,
2,1,Man,No,32,1,Yes,0,
3,3,Man,Yes,37,10,Yes,7,
4,4,Man,No,34,9,Yes,1,
0,0,Man,No,30,10,No,10,
0,2,Woman,No,34,10,No,25,
3,5,Man,No,55,9,No,1,should probably include a question about how long does it take for you to get to the ofice ... mine is 3-4 hours away !
3,4,Man,Yes,35,6,Yes,20,
3,2,Man,Yes,36,8,Yes,10,
1,1,Woman,Yes,44,10,No,0,
1,4,Man,No,33,7,Yes,2,
1,4,Man,Yes,50,8,No,10,I would move closer to my employer if relocation assistance offered.
3,5,Man,No,29,8,No,0,
4,3,Man,No,35,8,Yes,0,
3,3,Woman,Yes,36,10,Yes,2,
4,2,Man,No,36,3,Yes,4,
5,2,Woman,No,37,8,Yes,11,"I moved from being full time in London working 1 day from home pre-pandemic, to a contractor for the same insurer working 100% remotely overseas for the last 2 years."
4,3,Man,Yes,35,7,Yes,2,
4,3,Man,No,55,9,No,3,
0,2,Man,No,42,10,Yes,6,"I answered 2 days/wk WFH, but the company policy is 50% across a month (subject to business needs). Usual interpretation is 2 days one week, 3 days the next."
5,5,Man,Yes,44,10,Yes,19,We can work remotely but generally come to the office as needed. Which is on average one day per week
2,2,Man,Yes,44,7,Yes,13,
5,5,Man,No,31,9,Yes,0,
3,2,Woman,No,32,8,Yes,0,
4,3,Man,No,37,7,Yes,6,
2,2,Woman,No,41,7,Yes,6,
3,1,Man,Yes,38,10,Yes,12,
4,5,Man,Yes,33,10,Yes,10,"Attend office for client meetings and social events, typically 1/2 days per month"
4,3,Woman,Yes,41,8,No,50,
3,2,Man,Yes,38,7,Yes,5,How productive do people feel with different working patterns
5,2,Woman,No,35,8,Yes,3,Developed disability recently making commuting largely impossible
4,4,Woman,Yes,38,9,No,5,
2,2,Man,Yes,43,8,Yes,5,"I like to have flexibility so some weeks in 4, other in 2.  I also spend all summer and easter hols working remotely from the Isle of wight"
3,3,Man,Yes,45,7,Yes,15,
3,5,Man,Yes,43,9,Yes,6,
1,2,Man,No,62,5,Yes,16,"Interested in the use of ""core days"" (when everyone is expected to be in), whether staff are allowed to WFH but are expected to be available if required, how training and informtion sharing is organised with remote working.  "
1,2,Man,No,30,7,Yes,2,
3,3,Woman,No,38,7,Yes,6,
1,2,Man,No,27,3,Yes,0,
5,3,Woman,No,43,3,No,0,
2,1,Man,No,31,2,Yes,0,
4,5,Man,Yes,40,10,No,7,My actuarial team is fully remote.  It's been a big selling point when attracting candidates.
1,2,Man,No,53,6,Yes,1,"Ask if we think there should be a minimum requirement and, if so, for how many days."
3,2,Man,Yes,35,6,Yes,4,
0,2,Woman,Yes,45,10,Yes,21,
4,3,Woman,Yes,38,8,Yes,5,
3,2,Man,Yes,37,2,Yes,4,
4,3,Man,Yes,30,9,Yes,0,
3,3,Man,No,32,10,Yes,4,
5,3,Man,Yes,40,0,Yes,5,How much more or less do you think a) you are wfh b)your direct reports are wfh
3,2,Man,No,30,5,Yes,0,
4,0,Man,Yes,38,8,Yes,18,
3,2,Man,Yes,43,9,Yes,11,
2,3,Woman,No,29,7,Yes,2,
3,2,Woman,Yes,35,7,Yes,0,
3,3,Man,No,28,10,Yes,3,
4,3,Woman,Yes,32,6,No,2,
1,3,Man,No,42,9,Yes,32,
4,4,Woman,No,44,10,Yes,0,
3,3,Woman,No,31,8,Yes,2,Key thing for me is coordination of office days to cultivate an attitude of team. A free for all policy where everyone is serving their own interests does not work. 
2,2,Man,No,35,8,Yes,2,
2,2,Man,No,27,8,Yes,0,Would be satisfied with anything from 2-5 days WFH a fortnight. Towards the lower end would be better when busy (better to be in).
3,2,Man,Yes,29,8,Yes,2,
2,5,Man,No,30,6,Yes,0,I selected 6 in question 6 as the flexibility is nice but it can be frustrating and somewhat isolating when you rarely see other members of your team in person.
3,2,Woman,Yes,36,4,Yes,0,
4,2,Man,Yes,36,6,Yes,7,
1,3,Woman,Yes,34,3,Yes,25,Expectation is 4 days+
2,3,Man,No,36,10,Yes,3,
4,5,Man,No,33,10,Yes,0,
2,3,Man,No,31,8,Yes,0,
2,3,Man,Yes,49,7,Yes,14,I think an interesting question to explore when people are thinking about hybrid working is to what extent they consider the good of the company rather than their own desires.  My experience is that people want to work at home a lot for their own sakes but rarely consider other people/what is best for the company.  Q2 is difficult to answer.  The company policy is that we do hybrid working and it is left to managers to decide what that means for their teams.  For my team I have decided at least two days a week in the office - hence the answer I have given.
5,3,Woman,Yes,39,9,Yes,0,"Would be good to capture employers who (as mine does) has no official no. of days for hybrid working, is at discretion of each team. "
1,3,Woman,Yes,45,7,Yes,25,
3,2,Man,No,34,6,Yes,0,Ideally would want 2.5 days WFH (I used to love the 2/3 fortnightly cycle before company policy changed to 3-days in) but slightly leaned towards 3 over 2 for Q1.
2,2,Man,No,34,7,Yes,0,"There is (apparently) a split within the senior leadership of my company about hybrid working. Apparently at least one (thr CEO) wants 5 day in office but others want less. So I view the current arrangements as volatile - a change in that team could quickly change the policy. The current policy is good for me, but I do worry that it is not good for professional development of junior staff - particularly graduates."
3,3,Man,No,34,10,Yes,6,
3,2,Man,No,28,6,No,12,
3,2,Man,No,35,5,Yes,5,
1,2,Man,Yes,40,9,Yes,7,"For Q1, I think it's missing the option of ""flexibility"". Most of the time I'm 100% office, from choice, but I can wfh 3d easily if I need/want to "
2,3,Man,Yes,36,10,Yes,1,
5,5,Woman,No,60,10,No,1,My contract is to work from home and occasionally visit other company locations including head office in Gibraltar
